corridor_id,county_k1,county_k2,n_lines,avg_length_km,max_effective_voltage_kv,year,allocated_shadow_cost_total,allocated_n_binding_total,allocated_n_intervals_total,n_constraints_exposed_year,binding_share_corridor_year,stressed_corridor_year,corridor_exposed_year
ANDERSON__CHEROKEE,ANDERSON,CHEROKEE,1,54.99162355161065,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ANDERSON__HENDERSON,ANDERSON,HENDERSON,1,54.99162355161065,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ANDREWS__ECTOR,ANDREWS,ECTOR,1,47.86450191691582,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
ANDREWS__GAINES,ANDREWS,GAINES,1,47.86450191691582,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
ANGELINA__NACOGDOCHES,ANGELINA,NACOGDOCHES,1,24.699945368555145,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ARCHER__CLAY,ARCHER,CLAY,1,37.62891329238208,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ARCHER__WICHITA,ARCHER,WICHITA,3,30.9184937108971,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ARCHER__YOUNG,ARCHER,YOUNG,2,26.233043832768747,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ARMSTRONG__BRISCOE,ARMSTRONG,BRISCOE,2,53.52206586382461,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ARMSTRONG__CARSON,ARMSTRONG,CARSON,2,53.52206586382461,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ATASCOSA__BEXAR,ATASCOSA,BEXAR,1,31.7634084045288,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ATASCOSA__FRIO,ATASCOSA,FRIO,2,49.71660365264215,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ATASCOSA__LIVE OAK,ATASCOSA,LIVE OAK,1,24.721851068029203,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ATASCOSA__MCMULLEN,ATASCOSA,MCMULLEN,1,56.46592941006213,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ATASCOSA__WILSON,ATASCOSA,WILSON,3,43.84606491157511,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
AUSTIN__FAYETTE,AUSTIN,FAYETTE,2,18.866928569816864,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
AUSTIN__WASHINGTON,AUSTIN,WASHINGTON,2,18.866928569816864,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
BAILEY__COCHRAN,BAILEY,COCHRAN,1,47.11608976521057,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
BAILEY__LAMB,BAILEY,LAMB,4,107.11503775689484,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
