project_number,year_completed,county_from,county_to,intercounty,current_type,reviewed_type,type_source,review_flag,title,project_description
3937,2018,Harris,Grimes,True,new_corridor,new_corridor,dispatch_crosswalk_seed,,Brazos Valley Connection,Construct 345kV double circuit from Gibbons Creek to Zenith. Circuit numbers are 18 & 50.
4299,2018,Freestone,Navarro,True,existing_corridor_expansion,existing_corridor_expansion,dispatch_crosswalk_seed,,Big Brown - Navarro Switch 345 kV Line,Upgrade existing double-circuit line
4456,2018,Travis,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Gilleland Creek Autotransformer,Install a new 345/138 kV 672 MVA auto transformer at Gilleland Creek substation.
4843,2018,Tarrant,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Hicks Sw. Sta. 345/138 kV autotransformer #2,Install second 345/138 kV autotransformer
4962,2018,Borden,Borden,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Adding second 345/138 kV auto at Vealmoor station,
5020,2018,Tom Green,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Red Creek: Replace the other 345/138 kV autotransformer,Replace both 345/138 kV autotransformers at Red Creek with 480 MVA autotransformers
5176,2018,Wilbarger,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Riley: Add 345 kV reactors,"Add reactors to Tesla, Edith Clarke, Clear Crossing, and Riley"
5177,2018,Wilbarger,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Tesla: Add 345 kV reactor,"Add reactors to Tesla, Edith Clarke, Clear Crossing, and Riley"
5178,2018,Foard,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Edith Clarke: Add 345 kV reactor,"Add reactors to Tesla, Edith Clarke, Clear Crossing, and Riley"
5179,2018,Haskell,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Clear Crossing: Add 345 kV reactor,"Add reactors to Tesla, Edith Clarke, Clear Crossing, and Riley"
5180,2018,Carson,Briscoe,True,existing_corridor_expansion,existing_corridor_expansion,dispatch_crosswalk_seed,,Add second circuit to SLU panhandle loop,
5187,2018,Cameron,Cameron,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Add 2nd Palmito Transfomer,
5235,2018,Pecos,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Bakersfield Reactor Bank Addition(s),Add two (2) 50 MVAR reactor banks at Bakersfield Substation
5270B,2018,Tom Green,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Twin Buttes Autotransformer Addition,Replace the existing Twin Buttes AT1 autotransformer with a new 345/138-kV 672 MVA autotransformer. Remove the existing 36 MVAR Twin Buttes AT1 tertiary reactor.
5271,2018,Fayette,Fayette,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,FPP Bus Tie Upgrades,Add a second bus tie between LCRA TSC FPP 345-kV Yard #1 and Yard #2 with a minimum 1793 MVA rating. Upgrade T405 to a minimum rating of 1793 MVA.
5273,2018,Comal,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Bergheim Substation Upgrade,Add a 345-kV bus and a 345/138-kV 336 MVA autotransformer at Bergheim Substation.
5764,2018,Fort Bend,Fort Bend,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Obrien to WA Parish Ckts.98 & 99,"Increase thermal ratings of Ckst.98 & 99 Obrien to WA Parish by installing shunts on line and upgrading substation equipment_x000D_
"
5886,2018,Harris,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Bellaire Auto A1 - Upgrade Limiting Equipment,"Upgrade limiting equipment for Bellaire auto A1_x000D_
"
5894,2018,Harris,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Install Third Zenith 345/138kV 800MVA Transformer,Install a third 800MVA autotransformer at Zenith Substation.
6087,2018,Comanche,Comanche,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Flat Top 345 kV Switching Station,Flat Top 345 kV Switching Station
6311,2018,Harris,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Obrien Auto A2,"Replace the failed 600MVA autotransformer 2A and existing 600MVA autotransformer 2B with a new 800MVA autotransformer A2_x000D_
"
6312A,2018,Harris,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,PH Robinson Autotransformer A3 800MVA Addition,Install PH Robinson 800MVA 345/138kV Auto A3
6891,2018,Dallas,Dallas,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,BenDavisAuto2ReturnFullRatings,Ben Davis Auto2 Returns Full Ratings 590 MVA
08TPIT0033,2019,TRAVIS ,TRAVIS ,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Gilleland to Techridge 138kV Circuit,Establish a new 138kV circuit from Gilleland to Techridge and maintain a normally close tie between AEN and LCRA's switchyard at Gilleland.
43531,2019,Galveston,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,PH Robinson - Replace Failed Auto A4,"Replace failed PH Robinson auto A4 (800MVA)_x000D_
"
44189,2019,Hood,Somervell,True,existing_corridor_expansion,existing_corridor_expansion,dispatch_crosswalk_seed,,Upgrade Wolf Holllow - Comanche Peak 345 kV Line,
44687,2019,Deaf Smith,Deaf Smith,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,New 345kV substation,
4473,2019,Guadalupe,Guadalupe,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Zorn to Marion 2nd 345-kV Transmission Line Addition,Add 345-kV Zorn (7042) to Marion (7044) 2nd circuit using bundled Suwannee.   Portion of the CPS-Tie Project.
47418,2019,Upton,Ector,True,station_expansion,station_expansion,dispatch_crosswalk_seed,intercounty_station_default,KingMountainSwitchyardProject,King Mountain Switchyard Project
4844,2019,Guadalupe,Guadalupe,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,2nd Marion Autotransformer,Add a Second 345/138-kV Autotransformer at Marion. Part of the CPS Tie Project
5493,2019,Hays,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Hays Energy Substation Upgrade,Upgrade the Hays Energy 345-kV substation bus to a double bus double breaker configuration.
5731B,2019,Dallas,Dallas,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Tri Corner 345 kV Sw Sta,Ultimate Configuration for Tri Corner
6101,2019,Nueces,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Lon Hill: Replace 345/138 kV autotransformers,Replace 345/138 kV autotransformers  at Lon Hill
6165,2019,San Patricio,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Whitepoint: Install 100 MVAR Reactor,"Whitepoint: Install 100 MVAR Reactor_x000D_
"
6312B,2019,Harris,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,PH Robinson Autotransformer A3 800MVA Addition,Move PH Robinson 800MVA 345/138kV Auto A1 to North bus.
7092,2019,Ector,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Moss Sw. Sta. 345/138 kV Autotransformer #2,Moss Sw. Sta. 345/138 kV Autotransformer #2
11TPIT0034,2020,DALLAS,,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Sargent Road 345/138 kV autotransformer,Install second 345/138 kV autotransformer
3298,2020,Bexar,Bexar,False,station_expansion,station_expansion,dispatch_crosswalk_seed,,Skyline - Install a Fourth 345kV Autotransformer.,Install one 600 MVA autotransformer at Skyline switchyard.
